DENSITY	T_SET	T_OUT	T_OUT_ERR
0.30000001192092896	0.5	0.79039035970692018	0.0080953098564458242
0.44999998807907104	0.5	0.69256687450128041	0.0046628115159409855
0.6000000238418579	0.5	0.63209127713931423	0.0031580250736926792
0.75	0.5	0.55219443868210072	0.001564397776031674
0.8799999952316284	0.5	0.50167059777831202	0.00021852972425429927
0.949999988079071	0.5	0.50083342307383527	0.00021024710466617638
1.0	0.5	0.49472194591282398	0.00013372196473386127
1.2000000476837158	0.5	0.51149234122789411	7.0259167739620458e-05
0.30000001192092896	0.75	0.95008749136108828	0.0066977971445870829
0.44999998807907104	0.75	0.88623294793133667	0.0036415946675912034
0.6000000238418579	0.75	0.82388556557078896	0.0034203044218176384
0.75	0.75	0.74590090701661127	0.00056608265805416658
0.8799999952316284	0.75	0.7479405159201914	0.00051577930808601477
0.949999988079071	0.75	0.75062760686502672	0.00031316321994589265
1.0	0.75	0.74313938682795966	0.00021277272730952049
1.2000000476837158	0.75	0.74719074401081942	9.5079024577115329e-05
0.30000001192092896	1.0	1.0796802432343962	0.0039959617196829176
0.44999998807907104	1.0	1.0656495937487471	0.0029514038097394517
0.6000000238418579	1.0	1.0250243318407535	0.0011398288747388673
0.75	1.0	1.0006516915494816	0.00057989151244177805
0.8799999952316284	1.0	0.99043067375987304	0.00084260870251363299
0.949999988079071	1.0	0.99921673695222102	0.00055987695552162813
1.0	1.0	1.0008491902028214	0.00035496971719428059
1.2000000476837158	1.0	0.99913336010054821	0.0001655553004467196
0.30000001192092896	1.25	1.2797887382042619	0.0022020350633343883
0.44999998807907104	1.25	1.2668848034659221	0.0017471471870152554
0.6000000238418579	1.25	1.2647056379243522	0.00078941136910055389
0.75	1.25	1.2672740487647352	0.0007938401174027263
0.8799999952316284	1.25	1.2360447397264218	0.00084697183587815095
0.949999988079071	1.25	1.2507202170696627	0.0011391591428369543
1.0	1.25	1.2425146857392173	0.00050137239204698866
1.2000000476837158	1.25	1.2570165591963187	0.00018275967613757085
0.30000001192092896	1.5	1.4797467932124375	0.001808039211423613
0.44999998807907104	1.5	1.503002048348119	0.0015013020284516776
0.6000000238418579	1.5	1.4818608756160683	0.00086502308890810768
0.75	1.5	1.5128669618920418	0.00086911978828507232
0.8799999952316284	1.5	1.5051150827608006	0.00094676330066924654
0.949999988079071	1.5	1.3708370599163515	0.0040752284726790359
1.0	1.5	1.4751958371287099	0.00091011614097756619
1.2000000476837158	1.5	1.4912455164192642	0.00027844393330328694
0.30000001192092896	2.0	1.9832058177596918	0.0017452213995278541
0.44999998807907104	2.0	2.0035907987765129	0.0012447971819577626
0.6000000238418579	2.0	1.9830647640104484	0.00096710317327418349
0.75	2.0	1.9988917646997144	0.00095675625634433108
0.8799999952316284	2.0	1.9983400364618813	0.0011512342801289685
0.949999988079071	2.0	2.0450131330030237	0.0011795295348720461
1.0	2.0	2.0287028726308378	0.0013081125421994869
1.2000000476837158	2.0	1.9867724427453544	0.00035079945065765816
0.30000001192092896	2.5	2.4950777937915456	0.0014070420928562137
0.44999998807907104	2.5	2.5094628901571103	0.0011886198413542507
0.6000000238418579	2.5	2.4971513692032441	0.0012791844595759685
0.75	2.5	2.5289988623919943	0.0012710616332579456
0.8799999952316284	2.5	2.4262715245876758	0.0013601154892443469
0.949999988079071	2.5	2.5005288380690924	0.001760784069437012
1.0	2.5	2.557591728843926	0.0016086472174924912
1.2000000476837158	2.5	2.5030659293156301	0.00051985053104667308
0.30000001192092896	3.0	2.9839277385637089	0.0014055650530794485
0.44999998807907104	3.0	2.9795905858862168	0.0011857864905451536
0.6000000238418579	3.0	3.0259947864851999	0.0012335396549199051
0.75	3.0	2.9795824490439724	0.0015028380709331175
0.8799999952316284	3.0	3.0370369887644775	0.0017360567801508293
0.949999988079071	3.0	3.0464184851734273	0.0014945436321329927
1.0	3.0	3.0131372665349465	0.0017253219474216799
1.2000000476837158	3.0	3.0492274677653612	0.0046418994813436157
