DENSITY	T_SET	T_OUT	T_OUT_ERR	CV	CV_ERR	P	P_ERR
0.30000001192092896	0.5	0.79039035970691995	0.05697640365520381	2575.6538080041614	3781.5232767437465	-0.34966045255839573	0.13284515676485018
0.44999998807907104	0.5	0.69256687450128063	0.032665479035714762	2481.3492675979433	2803.4312119064325	-0.81807896286059778	0.16344780751790156
0.6000000238418579	0.5	0.63209127713931457	0.022089135062081825	2496.5975165350715	952.64722536916486	-1.3921365333356694	0.19886102827338512
0.75	0.5	0.55219443868210061	0.010736126629382401	2264.8690895663867	665.0251929968299	-2.3996791057811362	0.30071552241978938
0.8799999952316284	0.5	0.50167059777831169	0.0014871151819529087	2224.6475956850927	523.30584384597785	-6.2692619651771624	0.038655435500012027
0.949999988079071	0.5	0.50083342307383516	0.0010137123544613003	2510.2727270240425	779.12850424085548	-3.7052989494853508	0.023827696790428954
1.0	0.5	0.49472194591282392	0.00083911249970631391	2531.4255383652498	1015.0565622943988	-0.65338690593416804	0.019151587331401317
1.2000000476837158	0.5	0.51149234122789378	0.00028615850855298071	2475.9355653603143	686.58189604760662	25.103138346499684	0.015317985560250519
0.30000001192092896	0.75	0.95008749136108828	0.046900871294700476	1895.4052952756533	738.27482875148405	-0.1509316575329602	0.090927848106298906
0.44999998807907104	0.75	0.88623294793133667	0.025195840718977302	1909.6584238956614	383.25001826618831	-0.49578795287860855	0.1079622349214239
0.6000000238418579	0.75	0.82388556557078874	0.024174042824590774	1878.9307552520829	285.50523392972946	-0.9838678273278183	0.16706665139869153
0.75	0.75	0.74590090701661127	0.0038192472921177462	1926.410846215952	276.1390066517568	-1.1983818977547216	0.077196186638687048
0.8799999952316284	0.75	0.74794051592019162	0.0030946720236122022	2296.7470828529772	609.15703889222311	-1.3815742913319875	0.055878256317269781
0.949999988079071	0.75	0.75062760686502683	0.0018879913794996187	2416.18182129152	623.07238315766335	0.20060644401475558	0.026819961697241986
1.0	0.75	0.74313938682795955	0.0013957724204544501	2259.9546666822353	531.4150968566363	2.2247697560932527	0.018180137660787212
1.2000000476837158	0.75	0.74719074401081964	0.0006787746165509411	2412.0141413415204	618.86841335564361	19.644002425393023	0.019652774449680888
0.30000001192092896	1.0	1.0796802432343964	0.027900757335003044	1575.7894578297266	130.38030086525234	0.0088211422426549835	0.058971084345741692
0.44999998807907104	1.0	1.0656495937487471	0.020785762897413695	1601.5888367647105	102.51189828006669	-0.21025127860426254	0.072204005367324325
0.6000000238418579	1.0	1.0250243318407537	0.0077565889922237554	1737.5055093876883	203.09759058596032	-0.35202997962349164	0.078315263128581697
0.75	1.0	1.0006516915494816	0.0041140256316927713	1872.2324750520675	250.14335552681712	0.51952513482756957	0.063923695197919142
0.8799999952316284	1.0	0.99043067375987304	0.0048780584956499441	2222.3542328463077	370.94995545104149	3.0053292204645108	0.05849939978256067
0.949999988079071	1.0	0.99921673695222124	0.0032999807359855738	2371.6746560043671	576.13998183103536	2.1334738028375169	0.03018765537737041
1.0	1.0	1.0008491902028211	0.0020315645103556514	2403.3082280952885	549.98063767481869	3.6523015560664041	0.018089361511294665
1.2000000476837158	1.0	0.99913336010054865	0.00087219653974017746	2386.871657825468	611.26206973773344	16.617436100550623	0.01615603217216411
0.30000001192092896	1.25	1.2797887382042619	0.014872652685458792	1506.6767915717562	139.07859236458489	0.28180188279469454	0.03571516972014438
0.44999998807907104	1.25	1.2668848034659217	0.011970322738090769	1543.0508966822792	88.851292840655447	0.14256294735544239	0.049662366279474984
0.6000000238418579	1.25	1.2647056379243522	0.0057966214326452443	1721.9915013843172	192.17117233363979	0.37653243734711184	0.053150996313232057
0.75	1.25	1.2672740487647356	0.0051157223450921325	1874.1804091453241	251.5142091126437	1.510855606519157	0.033623146225565843
0.8799999952316284	1.25	1.2360447397264209	0.0055727094638171361	2058.5403433107631	386.87446541575986	3.7896633997738514	0.047824003537993542
0.949999988079071	1.25	1.2507202170696625	0.0087055508125741272	2382.451608076	481.96319680423971	3.3915622563894439	0.065436370740193178
1.0	1.25	1.2425146857392182	0.0035040923608890572	2455.7999186709781	568.59577750079711	4.4266655192054278	0.026756788479963024
1.2000000476837158	1.25	1.2570165591963183	0.0013193175115825198	2334.4761736525966	522.59593466161868	14.754571770259449	0.01710252234734868
0.30000001192092896	1.5	1.4797467932124371	0.012295788593647026	1468.009290651572	77.933618138768296	0.48378741255837082	0.030863021227495051
0.44999998807907104	1.5	1.5030020483481195	0.010183294741605014	1548.771000058432	78.788743316210969	0.49000224584902841	0.034697398695313748
0.6000000238418579	1.5	1.4818608756160687	0.0056238400712420051	1654.9785409882795	131.7336316693962	0.82131967603664147	0.046228871271199623
0.75	1.5	1.512866961892041	0.0048555675704455899	1800.9948259327309	180.30850545767257	2.0546967752543948	0.032948155190251543
0.8799999952316284	1.5	1.5051150827608006	0.005754542286287927	1996.748720639117	353.68647802457281	4.2431367284141448	0.04080915047303009
0.949999988079071	1.5	1.3708370599163513	0.028656068251801718	2319.0981500280209	474.28931782763823	5.9068882850381703	0.21590485845046892
1.0	1.5	1.4751958371287095	0.0057746359739308138	2438.8929558153372	521.19279488222594	4.9826941593998519	0.038145006809204254
1.2000000476837158	1.5	1.4912455164192651	0.0013559188086789756	2454.3455192328001	513.44055833592108	13.600033512368856	0.014186608180479387
0.30000001192092896	2.0	1.9832058177596903	0.01127181836423881	1435.3298538309523	42.933720063173936	0.79672480787186217	0.021873122646730216
0.44999998807907104	2.0	2.0035907987765125	0.0078628076999078811	1515.9725624180192	81.193355199168977	0.96572082205756105	0.027936466372125598
